stride_length_cm,ground_contact_ms,hip_drop_degrees,fatigue_index,injury_risk_score
80.2,293.1,13.1,8.7,52.3
109.0,160.2,14.5,6.0,55.5
131.9,212.0,7.4,4.2,38.02
130.9,313.3,2.1,5.7,35.67
105.7,252.2,11.4,9.5,45.53
148.3,319.1,6.4,1.1,58.7
126.1,196.7,14.9,5.1,50.39
114.9,150.9,9.8,4.6,47.56
122.4,168.4,9.8,1.3,48.41
122.2,281.6,6.3,1.5,57.85
112.1,206.8,6.8,4.8,37.07
150.1,286.4,2.5,3.4,54.54
100.9,189.1,8.4,2.9,37.72
153.8,314.4,7.8,3.8,51.9
123.7,336.1,9.6,10.0,54.62
150.9,200.0,14.0,8.2,66.4
83.1,232.0,7.7,4.0,24.29
92.0,249.5,5.9,7.1,38.58
118.2,200.8,10.9,3.2,49.47
89.5,274.8,2.6,5.9,32.38
139.0,335.6,13.8,6.0,68.29
111.8,240.2,6.0,4.1,45.19
157.6,300.3,2.5,4.4,46.0
98.8,151.5,10.5,7.6,37.23
86.7,308.4,3.3,9.7,34.91
